"","date","R","lower","upper"
"1",2020-08-03,NA,NA,NA
"2",2020-08-04,NA,NA,NA
"3",2020-08-05,NA,NA,NA
"4",2020-08-06,NA,NA,NA
"5",2020-08-07,NA,NA,NA
"6",2020-08-08,NA,NA,NA
"7",2020-08-09,NA,NA,NA
"8",2020-08-10,NA,NA,NA
"9",2020-08-11,NA,NA,NA
"10",2020-08-12,NA,NA,NA
"11",2020-08-13,NA,NA,NA
"12",2020-08-14,NA,NA,NA
"13",2020-08-15,NA,NA,NA
"14",2020-08-16,2.40040745778732,1.51746515846363,3.68462606875238
"15",2020-08-17,1.76932638846478,1.13701389490367,2.70126153330401
"16",2020-08-18,1.47552480845493,0.967836273784527,2.18304158711633
"17",2020-08-19,1.29007264694874,0.846887388547807,1.88877384190783
"18",2020-08-20,1.24062735185945,0.826828980719035,1.82384730262147
"19",2020-08-21,1.25364520388014,0.831759185719199,1.83784657526183
"20",2020-08-22,1.19546806082494,0.788896380792864,1.77605974119552
"21",2020-08-23,1.25835533247772,0.832028828609036,1.87452346441593
"22",2020-08-24,1.29578509921915,0.860422840840973,1.9147869138692
"23",2020-08-25,1.28171496538167,0.835735267768245,1.88476496328569
"24",2020-08-26,1.35005920402795,0.929585700569179,1.98857501294694
"25",2020-08-27,1.42116440512314,0.944724852584711,2.06083258124486
"26",2020-08-28,1.37558065749759,0.904685364374244,2.06494958149898
"27",2020-08-29,1.37252144341611,0.923820891995296,1.98135570006561
"28",2020-08-30,1.36972164976902,0.912148427973063,1.99722263357081
"29",2020-08-31,1.39979310653573,0.91731999532382,2.05771876573427
"30",2020-09-01,1.42201761569651,0.947520455962003,2.10325376474899
"31",2020-09-02,1.42687658874373,0.958261419483939,2.06526137671326
"32",2020-09-03,1.41637544711629,0.963179247358684,2.0567990333326
"33",2020-09-04,1.38437490567241,0.953505388890298,2.01617243924351
"34",2020-09-05,1.4645364963711,0.996854200081961,2.11957433855811
"35",2020-09-06,1.50447095699214,1.01572786995915,2.17510971182706
"36",2020-09-07,1.57477128904188,1.06322424098394,2.28187423664039
"37",2020-09-08,1.70428148010201,1.17018850580443,2.46646574093208
"38",2020-09-09,1.68330805449556,1.17484813344687,2.41792964579102
"39",2020-09-10,1.66828880115079,1.15112659948006,2.43739618705013
"40",2020-09-11,1.77074381446188,1.22516736596765,2.50387602435491
"41",2020-09-12,1.84402656623395,1.26778353923173,2.63223646770867
"42",2020-09-13,2.0652036819547,1.43828933428832,2.93918034841743
"43",2020-09-14,2.19306223289199,1.53845120479927,3.18595525779705
"44",2020-09-15,2.20948887245974,1.5439108193869,3.18512239718264
"45",2020-09-16,2.3598367663939,1.64980090589689,3.37108779632029
"46",2020-09-17,2.4323900868537,1.69469464191025,3.47635537636197
"47",2020-09-18,2.48974962236287,1.77300714616174,3.53201026953343
"48",2020-09-19,2.50361617514134,1.77123713538934,3.55710312233718
"49",2020-09-20,2.44387565789663,1.72308821797814,3.49668550363726
"50",2020-09-21,2.49971619082849,1.73028319673105,3.58350366343495
"51",2020-09-22,2.4747000733017,1.74008869371454,3.5347803586803
"52",2020-09-23,2.2472826242952,1.62467880547317,3.24229517254948
"53",2020-09-24,2.2311520705386,1.54188865605083,3.14257304714493
"54",2020-09-25,2.25486977004363,1.56399335195017,3.16925800831877
"55",2020-09-26,2.25034868291226,1.52796446074818,3.17399342318583
"56",2020-09-27,2.26721803786901,1.59714312734211,3.18113492388357
"57",2020-09-28,2.25620602481307,1.56880848354628,3.19700387892764
"58",2020-09-29,2.13407544126231,1.51348661362879,3.03771263958809
"59",2020-09-30,2.07252081046553,1.42032104555948,2.93736885836998
"60",2020-10-01,1.95654481204067,1.37295749502363,2.77505406532729
"61",2020-10-02,1.88145884182699,1.33350440626915,2.67609719528621
"62",2020-10-03,1.78192586142076,1.22609949091838,2.48783037567878
"63",2020-10-04,1.67159018543018,1.17533594073466,2.34590191806774
"64",2020-10-05,1.61517462358538,1.13526945559435,2.32195734584926
"65",2020-10-06,1.59893721661775,1.11511664122904,2.249847758499
"66",2020-10-07,1.63836864327873,1.15353604986125,2.31010469697918
"67",2020-10-08,1.72138159353109,1.20597472320647,2.42559638225858
"68",2020-10-09,1.69956681492931,1.19274108891852,2.40111119724723
"69",2020-10-10,1.64119647558076,1.18276470769089,2.35361942690472
"70",2020-10-11,1.49276688754583,1.05755601878161,2.11276945394291
"71",2020-10-12,1.41635319266331,0.96565629051527,2.01343638458458
"72",2020-10-13,1.40006718469928,0.988433211196586,1.98846842556009
"73",2020-10-14,1.32604695563318,0.933349213084444,1.86177053063653
"74",2020-10-15,1.25436448017289,0.895622693938917,1.76554730519157
"75",2020-10-16,1.23102769511021,0.868154642807277,1.75883115996623
"76",2020-10-17,1.16280917202038,0.829487105888726,1.6143698178167
"77",2020-10-18,1.1633609600902,0.830300811135716,1.62234016331879
"78",2020-10-19,1.1649423519795,0.809821596723231,1.65683691986148
"79",2020-10-20,1.20571162672743,0.864472388557521,1.73170769809357
"80",2020-10-21,1.22196976245228,0.871036081196607,1.70976995440354
"81",2020-10-22,1.21778983938468,0.864289809042972,1.6984757784016
"82",2020-10-23,1.19897900631352,0.851140650694088,1.70003247993208
"83",2020-10-24,1.22025322282823,0.869737017013912,1.7332127029369
"84",2020-10-25,1.22585649020209,0.872007597052391,1.73771242331579
"85",2020-10-26,1.16925761815273,0.818528173228683,1.60112190330509
"86",2020-10-27,1.16048649281463,0.805229809534661,1.60239985899946
"87",2020-10-28,1.15396842603335,0.816618956856949,1.6329356926447
