"","date","R","t_end","lower","upper"
"1",2020-08-17,11.3529412060057,16,9.39886180861576,13.6897471590375
"2",2020-08-18,6.91174955755688,17,5.73654499237758,8.25233898051729
"3",2020-08-19,4.58610669814928,18,3.81145972496668,5.44349293627902
"4",2020-08-20,3.27767093054835,19,2.74286041685205,3.85696997073373
"5",2020-08-21,2.50183751246521,20,2.11110057337197,2.91513658957646
"6",2020-08-22,2.00635314301636,21,1.70111637919642,2.32592664446545
"7",2020-08-23,1.64983101003486,22,1.40765413806242,1.90806453541448
"8",2020-08-24,1.39151087317123,23,1.19703862786384,1.60009627033294
"9",2020-08-25,1.19589257259676,24,1.02626266039518,1.37304112888125
"10",2020-08-26,1.07193739665217,25,0.923813856719029,1.22926588424445
"11",2020-08-27,0.980732399025816,26,0.849420728826573,1.12791725355529
"12",2020-08-28,0.908095717527296,27,0.791598145067722,1.03855181000803
"13",2020-08-29,0.869244209480924,28,0.760004309603935,0.991914295252698
"14",2020-08-30,0.861000083273345,29,0.751329222336017,0.983120211950983
"15",2020-08-31,0.879230192252384,30,0.77128081601224,0.998925248776736
"16",2020-09-01,0.920884089908873,31,0.80931215683183,1.04610463462895
"17",2020-09-02,0.981632629926581,32,0.866471102133505,1.11208504246365
"18",2020-09-03,1.06040895898527,33,0.937630689702552,1.19887876495109
"19",2020-09-04,1.15411016689211,34,1.02286542887448,1.30707967676709
"20",2020-09-05,1.25225802982048,35,1.11217403314341,1.41555299127415
"21",2020-09-06,1.36819721518868,36,1.2165430227258,1.54459428964354
"22",2020-09-07,1.49707847561317,37,1.33131491876057,1.69019541233569
"23",2020-09-08,1.62557825218455,38,1.44923058855426,1.83473403555154
"24",2020-09-09,1.74606855402208,39,1.55597006861446,1.97844434221276
"25",2020-09-10,1.84805698816944,40,1.64570806685382,2.08457222855499
"26",2020-09-11,1.96033542764191,41,1.74097263452148,2.20245103612459
"27",2020-09-12,2.08042116744077,42,1.84798045651533,2.33909329227795
"28",2020-09-13,2.18710195284529,43,1.94644733340784,2.46202365766207
"29",2020-09-14,2.27797089486152,44,2.03181885443107,2.56097107771279
"30",2020-09-15,2.34474436586977,45,2.08906872554681,2.63523646970036
"31",2020-09-16,2.39314816244284,46,2.13626527425183,2.68681655682058
"32",2020-09-17,2.44374889255772,47,2.18824936524846,2.74691823630268
"33",2020-09-18,2.45141528731062,48,2.19772054205328,2.74823474855052
"34",2020-09-19,2.46346471820445,49,2.21122123150633,2.77885601248083
"35",2020-09-20,2.491798091712,50,2.23898391872105,2.81614203824502
"36",2020-09-21,2.54341143142886,51,2.27174104155221,2.86716553106636
"37",2020-09-22,2.58296503600958,52,2.30388484719194,2.92535908873199
"38",2020-09-23,2.61563809466631,53,2.33821620785418,2.9607434062314
"39",2020-09-24,2.65858717349987,54,2.37905556298838,2.99534727639982
"40",2020-09-25,2.71627810794154,55,2.42220648433269,3.05794614693629
"41",2020-09-26,2.77116878192616,56,2.47400867608591,3.11643968769005
"42",2020-09-27,2.84112172627485,57,2.5374021662218,3.19841496861356
"43",2020-09-28,2.89622543963565,58,2.59048158798121,3.24205236420465
"44",2020-09-29,2.93456401761895,59,2.63375470181156,3.28456156989703
"45",2020-09-30,2.95610271910328,60,2.64339906623475,3.31388271433894
"46",2020-10-01,2.96508709692952,61,2.66461171190236,3.30936810112711
"47",2020-10-02,2.97595201269235,62,2.68112070596604,3.3271037713385
"48",2020-10-03,2.9892386855816,63,2.69363964073467,3.33150438964306
"49",2020-10-04,2.98779156624963,64,2.68144980994813,3.31509151902644
"50",2020-10-05,2.97851205303789,65,2.66811943932915,3.30421954026624
"51",2020-10-06,2.94406411361823,66,2.63508525388439,3.25739659354632
"52",2020-10-07,2.85784225514946,67,2.57300234511024,3.17936316304633
"53",2020-10-08,2.76699840740168,68,2.49042673460197,3.08125591753172
"54",2020-10-09,2.66879329257763,69,2.4006203780816,2.96348612777224
"55",2020-10-10,2.54798647386753,70,2.29950234387896,2.83185426110212
"56",2020-10-11,2.41383128840114,71,2.17700469474351,2.6839084349269
"57",2020-10-12,2.26877990410912,72,2.0509180291745,2.53036355307896
"58",2020-10-13,2.13276243733815,73,1.92768029023523,2.3775998627276
"59",2020-10-14,2.01130974718333,74,1.81661918416845,2.23725204389572
"60",2020-10-15,1.89064380244101,75,1.71029609183776,2.09898385200761
"61",2020-10-16,1.78197285722799,76,1.60603459421945,1.96884129320366
"62",2020-10-17,1.67840365667645,77,1.5149351430744,1.8555334898759
"63",2020-10-18,1.57631753775543,78,1.41974452047364,1.74211365812056
"64",2020-10-19,1.47431602872673,79,1.33117795503559,1.62903794653875
"65",2020-10-20,1.37830920367789,80,1.24461450743629,1.52049095849177
"66",2020-10-21,1.28943383728879,81,1.16334920630569,1.42272790236938
"67",2020-10-22,1.22047471051678,82,1.10116562858342,1.3491241248311
"68",2020-10-23,1.16148829150794,83,1.04727263037794,1.27751388802908
"69",2020-10-24,1.10935137304594,84,1.00285516313203,1.22164833032625
"70",2020-10-25,1.0690500263465,85,0.965577730344261,1.17669389218713
"71",2020-10-26,1.03771114781172,86,0.939323262855601,1.14409069900225
"72",2020-10-27,1.01784517676293,87,0.922288641757601,1.12431185260765
"73",2020-10-28,1.00001753463677,88,0.904673696537484,1.10269590418949
"74",2020-10-29,0.981477456613886,89,0.885854039295222,1.08357925210551
"75",2020-10-30,0.971306898552046,90,0.877457127514923,1.07267714685973
"76",2020-10-31,0.960571517665704,91,0.866928595461646,1.06155328101193
"77",2020-11-01,0.948726016471812,92,0.856121010752202,1.04932342499669
"78",2020-11-02,0.943717087672697,93,0.85185759257426,1.04437397717843
"79",2020-11-03,0.943751089578255,94,0.85592621082876,1.0424616640969
"80",2020-11-04,0.947834754394461,95,0.860532923198616,1.04611095096065
"81",2020-11-05,0.956847485171014,96,0.868665207844749,1.05587106189218
"82",2020-11-06,0.972057574706398,97,0.88117313988439,1.07135543593954
"83",2020-11-07,0.995410960997368,98,0.902394661661568,1.09353570346353
"84",2020-11-08,1.02549825171599,99,0.92721958360384,1.12728669770862
"85",2020-11-09,1.05434267232918,100,0.952363600121879,1.16273312688981
"86",2020-11-10,1.08392107676011,101,0.981048488116787,1.19749949139892
"87",2020-11-11,1.11080032351687,102,1.00458421229481,1.22394810613163
"88",2020-11-12,1.13539363851304,103,1.02331500342837,1.24826245164025
"89",2020-11-13,1.15774939529033,104,1.04782872299912,1.2768010977612
"90",2020-11-14,1.1794393138308,105,1.06542814944731,1.30096689286339
"91",2020-11-15,1.19732984098183,106,1.08248229460544,1.32177484751207
"92",2020-11-16,1.21570434066806,107,1.09444541619315,1.33992892206742
"93",2020-11-17,1.22689610217926,108,1.11125289874672,1.35447907126756
"94",2020-11-18,1.237159218306,109,1.12169312409025,1.36297255057751
"95",2020-11-19,1.24148679651838,110,1.13009731962637,1.37099938140235
"96",2020-11-20,1.24185886016082,111,1.12824526207058,1.37759030580116
"97",2020-11-21,1.23331077128258,112,1.11923995241994,1.36349589119413
"98",2020-11-22,1.21993455408206,113,1.10315669333239,1.34718546023778
"99",2020-11-23,1.19910908268233,114,1.08129191802478,1.32131950634516
"100",2020-11-24,1.17654544302887,115,1.05954133621815,1.29576809428015
"101",2020-11-25,1.15039796440519,116,1.03374516679241,1.27036055601405
"102",2020-11-26,1.12428751385384,117,1.01158759737809,1.2428534120642
"103",2020-11-27,1.10290107675994,118,0.993727747676755,1.21840033296753
"104",2020-11-28,1.08582106505292,119,0.983433878424221,1.19722812018663
"105",2020-11-29,1.07194804590508,120,0.972321127373076,1.18564311623351
"106",2020-11-30,1.06578721226247,121,0.964460982732366,1.17605955186552
"107",2020-12-01,1.06177230152755,122,0.958099138935479,1.17192739717291
"108",2020-12-02,1.06540649117572,123,0.957562159105239,1.1785824023839
"109",2020-12-03,1.06918674293895,124,0.965206648597675,1.18326131972956
"110",2020-12-04,1.07582566122564,125,0.972742530219242,1.18933573268392
"111",2020-12-05,1.09519345711521,126,0.989632046121115,1.21525463612289
"112",2020-12-06,1.11848605812644,127,1.01127445735046,1.24500708888648
"113",2020-12-07,1.14565647452686,128,1.0322180875195,1.27224944852534
"114",2020-12-08,1.17318062195038,129,1.05610418855434,1.30572378115423
"115",2020-12-09,1.20254278617373,130,1.08059814678649,1.33886450971899
"116",2020-12-10,1.23057841420646,131,1.10850556292511,1.37218536767948
"117",2020-12-11,1.25507079435927,132,1.12736894512078,1.39690306819023
"118",2020-12-12,1.28110658686519,133,1.15199116468348,1.42287016353516
