"","date","R","lower","upper","t_end"
"1",2020-08-17,14.8107825219108,11.690439641584,18.5829301251698,16
"2",2020-08-18,9.43972081472595,7.49917723932632,11.705811660119,17
"3",2020-08-19,6.57113378603909,5.27170500631402,8.14284471077444,18
"4",2020-08-20,4.91382497729628,3.95806966729752,6.03246269561365,19
"5",2020-08-21,3.88177575026655,3.16480695132713,4.73934055086465,20
"6",2020-08-22,3.18851763647774,2.6228126127251,3.86280465732073,21
"7",2020-08-23,2.71732380139422,2.26488490726058,3.26049498149097,22
"8",2020-08-24,2.37980446105409,1.98101076777778,2.85115806574147,23
"9",2020-08-25,2.11450573386211,1.77404238148727,2.5068774783021,24
"10",2020-08-26,1.91967353084276,1.61852994922526,2.26812655249396,25
"11",2020-08-27,1.77195580066897,1.50056470006386,2.08414062588769,26
"12",2020-08-28,1.64945544223862,1.40378501211077,1.92988542653881,27
"13",2020-08-29,1.55519685192737,1.32835124610787,1.81119494313509,28
"14",2020-08-30,1.48584484025194,1.27084886578626,1.71417443155351,29
"15",2020-08-31,1.43768541357733,1.23267633255231,1.65478656129513,30
"16",2020-09-01,1.40474736713906,1.20956028243201,1.61315272028802,31
"17",2020-09-02,1.38723260894677,1.19333769502505,1.59410554957398,32
"18",2020-09-03,1.38167613659302,1.19666274312422,1.59312967714581,33
"19",2020-09-04,1.38151023947731,1.19737420592542,1.59695616212742,34
"20",2020-09-05,1.39365330717986,1.20171500554194,1.60550374769053,35
"21",2020-09-06,1.41249485844378,1.21886278705132,1.62664652943562,36
"22",2020-09-07,1.43296494438923,1.238949457241,1.65102175124154,37
"23",2020-09-08,1.46468225950745,1.26675656230285,1.68638831543779,38
"24",2020-09-09,1.49741979856372,1.299547248123,1.71847870510452,39
"25",2020-09-10,1.52286179537081,1.32040402889231,1.74850373897522,40
"26",2020-09-11,1.55448562949576,1.34817311846103,1.77961753895054,41
"27",2020-09-12,1.59006069059948,1.37420993465242,1.82162380527064,42
"28",2020-09-13,1.64160289594486,1.4298823866805,1.88546549511371,43
"29",2020-09-14,1.70298979335823,1.48029268305965,1.95653718361243,44
"30",2020-09-15,1.76286755085359,1.53077654199375,2.0159555013665,45
"31",2020-09-16,1.83727199122791,1.5963991777913,2.10873798136226,46
"32",2020-09-17,1.91378674179649,1.66080772937948,2.19697787521587,47
"33",2020-09-18,1.99176614975505,1.73268813509825,2.28962870000316,48
"34",2020-09-19,2.07573924396358,1.79783878644297,2.38062131656245,49
"35",2020-09-20,2.14906134700595,1.8684638656936,2.46685970140951,50
"36",2020-09-21,2.22044321284907,1.93025027066754,2.54254331178427,51
"37",2020-09-22,2.29054410029517,1.99591566007254,2.61170868643654,52
"38",2020-09-23,2.32814437263833,2.0166026400633,2.64872678817843,53
"39",2020-09-24,2.36159381475995,2.04727936981324,2.68032868712453,54
"40",2020-09-25,2.39386965326723,2.0876416097115,2.73066382797164,55
"41",2020-09-26,2.42142269042254,2.10766256983348,2.77378787246147,56
"42",2020-09-27,2.44957078025338,2.14024978800774,2.79401211105907,57
"43",2020-09-28,2.4615195187188,2.15516594914701,2.81902578027645,58
"44",2020-09-29,2.454823975465,2.1461295071556,2.80720397229516,59
"45",2020-09-30,2.44127639248638,2.14562871696443,2.77670026550156,60
"46",2020-10-01,2.4029687609682,2.11490874295643,2.74676778235943,61
"47",2020-10-02,2.35704181975149,2.0645223096618,2.69239054408364,62
"48",2020-10-03,2.30032166384887,2.01473767500009,2.63092555200084,63
"49",2020-10-04,2.23936184401855,1.96019721018698,2.55593016609499,64
"50",2020-10-05,2.17318733760699,1.89319324557317,2.48043400084871,65
"51",2020-10-06,2.10236815015438,1.84012684828637,2.40317242511546,66
"52",2020-10-07,2.0494234853091,1.78112260168637,2.33818453484995,67
"53",2020-10-08,2.00864067674029,1.75809341814351,2.29177183390376,68
"54",2020-10-09,1.9758583981579,1.72979791884001,2.25738087908115,69
"55",2020-10-10,1.93466637448169,1.69749845538544,2.22016340183936,70
"56",2020-10-11,1.8826295716841,1.65077086469736,2.15802057100087,71
"57",2020-10-12,1.82670573131132,1.60367247181756,2.07711579895271,72
"58",2020-10-13,1.76907395360452,1.55552414434338,2.01270283641924,73
"59",2020-10-14,1.71444773841781,1.49958947124179,1.95563197718177,74
"60",2020-10-15,1.65518557533323,1.44712482872079,1.88800750960604,75
"61",2020-10-16,1.60261340010126,1.40194220028012,1.82841130638482,76
"62",2020-10-17,1.55075325897682,1.34736488282617,1.75972498523978,77
"63",2020-10-18,1.50280757454865,1.31219287465955,1.70409716497,78
"64",2020-10-19,1.46275214644212,1.28101661541676,1.65304761348387,79
"65",2020-10-20,1.43178003833898,1.25306888481463,1.62542139836631,80
"66",2020-10-21,1.40914067279692,1.23175356971638,1.59290971751112,81
"67",2020-10-22,1.38014492600368,1.20617734238265,1.56837943407171,82
"68",2020-10-23,1.35280042844144,1.18269724594138,1.53464669459667,83
"69",2020-10-24,1.32520349794622,1.15818067319248,1.50628984771376,84
"70",2020-10-25,1.30216107491291,1.1394704050359,1.47884201118555,85
"71",2020-10-26,1.28175717063106,1.11761222739936,1.45705269830336,86
"72",2020-10-27,1.26506472946768,1.10635183375096,1.44474243311416,87
"73",2020-10-28,1.24672655162506,1.08999030745723,1.41892550930392,88
"74",2020-10-29,1.23386872971915,1.08466187353517,1.40965080942487,89
"75",2020-10-30,1.23187188553838,1.07901860040085,1.40384224848276,90
"76",2020-10-31,1.22958210364255,1.07839277910935,1.40059339047369,91
"77",2020-11-01,1.23795878709065,1.0874187965104,1.41299345091052,92
"78",2020-11-02,1.24883231758962,1.09767244852013,1.43118222992079,93
"79",2020-11-03,1.26008343832949,1.10712193903622,1.44281958044434,94
"80",2020-11-04,1.26860530691225,1.11318972883239,1.45106043793117,95
"81",2020-11-05,1.27293710621786,1.12043668384457,1.45549255315133,96
"82",2020-11-06,1.27727523655946,1.12566308656,1.45863381410426,97
"83",2020-11-07,1.28795197754725,1.13693832533954,1.46851327868354,98
"84",2020-11-08,1.30120748629151,1.14597452683028,1.48112481094622,99
"85",2020-11-09,1.31834576291683,1.15703527546036,1.50259164050692,100
"86",2020-11-10,1.34617751707662,1.18120443016501,1.53697410407057,101
"87",2020-11-11,1.37494223553856,1.2102071591651,1.56595892339687,102
"88",2020-11-12,1.40205996997813,1.22934719599931,1.60070917445835,103
"89",2020-11-13,1.42607321513237,1.25072865410881,1.62695259524975,104
"90",2020-11-14,1.4429514206339,1.26357985039667,1.65157063049614,105
"91",2020-11-15,1.45818225138832,1.2692642750768,1.66363596367879,106
"92",2020-11-16,1.46282479854372,1.28035091581334,1.66263606725078,107
"93",2020-11-17,1.46525742926544,1.28363390870694,1.66337957024345,108
"94",2020-11-18,1.46425475197403,1.28089538271777,1.65375133335863,109
"95",2020-11-19,1.45949965590121,1.27804018006622,1.65341709057837,110
"96",2020-11-20,1.45645891474307,1.28242742109853,1.6459914345436,111
"97",2020-11-21,1.45029487387547,1.28272662198554,1.63965248743823,112
"98",2020-11-22,1.43732799123893,1.26647029307332,1.62838154397371,113
"99",2020-11-23,1.41695832247948,1.25384514341249,1.59870323507153,114
"100",2020-11-24,1.39104999874339,1.23270880893874,1.56765610948411,115
"101",2020-11-25,1.35705955332743,1.20527154347121,1.53716458491601,116
"102",2020-11-26,1.32887638845261,1.17949004276565,1.51422349971963,117
"103",2020-11-27,1.3056338663156,1.1578361573488,1.48216199902035,118
"104",2020-11-28,1.28646752331269,1.13850918602794,1.46111240020679,119
"105",2020-11-29,1.27049023802462,1.1199404013236,1.44190124445665,120
"106",2020-11-30,1.25686332631648,1.11300180745996,1.42635889316456,121
"107",2020-12-01,1.25028258330273,1.1043737702353,1.41794480054756,122
"108",2020-12-02,1.24529828664676,1.09726151655952,1.40941801468739,123
"109",2020-12-03,1.24080558887028,1.0928608141143,1.40482984630993,124
"110",2020-12-04,1.24022956912409,1.0901961511047,1.40948583395387,125
"111",2020-12-05,1.24045966206172,1.09022040846724,1.40305315446656,126
"112",2020-12-06,1.24295128090622,1.08645660829449,1.40301110279996,127
"113",2020-12-07,1.24405670481155,1.09045134118041,1.40780201929581,128
"114",2020-12-08,1.25183136417915,1.09785914456195,1.41425103446355,129
"115",2020-12-09,1.26048644121343,1.10690804141992,1.42276389447075,130
"116",2020-12-10,1.26485721629194,1.1089919997161,1.42569864592734,131
"117",2020-12-11,1.2649659880847,1.111136893903,1.42502643644194,132
"118",2020-12-12,1.26156504281455,1.10596092835428,1.42755419240231,133
"119",2020-12-13,1.25791057371178,1.10171698092232,1.42247663675528,134
"120",2020-12-14,1.25543240760368,1.10294352101598,1.42361327091313,135
"121",2020-12-15,1.25473573217654,1.10612881333235,1.42186238732343,136
"122",2020-12-16,1.25445496369302,1.10406185626215,1.41296478605283,137
"123",2020-12-17,1.25360173250811,1.10542323660374,1.41489764860998,138
"124",2020-12-18,1.25702778062222,1.10908388669014,1.42262150265235,139
"125",2020-12-19,1.25786644912498,1.11053977253827,1.42301583913804,140
"126",2020-12-20,1.25554575335853,1.10468126015217,1.4152597046227,141
"127",2020-12-21,1.24958980040672,1.10377765260541,1.4097605396037,142
"128",2020-12-22,1.24532381908912,1.0994818867876,1.4056329228244,143
"129",2020-12-23,1.24246121243328,1.09594557112184,1.39920039496424,144
"130",2020-12-24,1.2366268085184,1.09311280739226,1.39472619853492,145
"131",2020-12-25,1.23039977832134,1.08279553697741,1.39470204517353,146
"132",2020-12-26,1.22865205114012,1.08211061796518,1.39002254928735,147
"133",2020-12-27,1.23457086166392,1.08584213389615,1.40137111819072,148
"134",2020-12-28,1.25371534244894,1.10309324403049,1.4228409060599,149
"135",2020-12-29,1.27464022807532,1.12363227940059,1.45153057569731,150
"136",2020-12-30,1.29469929689584,1.14035485164908,1.47511195302834,151
"137",2020-12-31,1.31379599322144,1.15964601910489,1.49712684443187,152
"138",2021-01-01,1.33569828669118,1.183015105694,1.52464027182291,153
"139",2021-01-02,1.36621755604782,1.20487067509725,1.55810803849469,154
"140",2021-01-03,1.39358368690426,1.22559444310149,1.58947644887093,155
"141",2021-01-04,1.42137727734534,1.2445505200703,1.61615208097684,156
"142",2021-01-05,1.44167878156225,1.26200868500729,1.63881052861647,157
"143",2021-01-06,1.45829243757894,1.27866601944436,1.66656425662718,158
"144",2021-01-07,1.47354581181389,1.29261152755627,1.6866448993275,159
"145",2021-01-08,1.4966370944378,1.31116411810715,1.70354826539,160
"146",2021-01-09,1.51962459354293,1.33228220454249,1.73966425952499,161
"147",2021-01-10,1.53799632974706,1.35279481179911,1.75840291981349,162
"148",2021-01-11,1.54043565849413,1.35665070011728,1.75531007617209,163
"149",2021-01-12,1.52141172704568,1.3450940810748,1.72827552198996,164
"150",2021-01-13,1.49360002968924,1.32432587489013,1.69525943687168,165
"151",2021-01-14,1.45663422875234,1.28532870612159,1.64747610573371,166
"152",2021-01-15,1.4086247612039,1.24359076041174,1.59301218374551,167
"153",2021-01-16,1.35370299494788,1.1944755389129,1.52962506728973,168
"154",2021-01-17,1.29028663192026,1.13388909377678,1.46121600919321,169
"155",2021-01-18,1.22518256886095,1.08090402963023,1.3874251975396,170
"156",2021-01-19,1.16259737365445,1.02129110953981,1.31736373583407,171
"157",2021-01-20,1.10634999544535,0.972789170551576,1.25450994894165,172
"158",2021-01-21,1.0550199299292,0.922456937200358,1.19556776968818,173
"159",2021-01-22,1.00217283290377,0.87590422345994,1.13200485664059,174
"160",2021-01-23,0.945910143460862,0.829214900834176,1.07349746952179,175
"161",2021-01-24,0.891169136544514,0.784990442885414,1.01241128066219,176
"162",2021-01-25,0.840431263277878,0.737593824081291,0.954104735233874,177
"163",2021-01-26,0.796026995423848,0.69669410530207,0.905520864867532,178
"164",2021-01-27,0.758368937701339,0.666617883516956,0.860211264242148,179
"165",2021-01-28,0.724318840271197,0.637514967349538,0.819322277895303,180
"166",2021-01-29,0.695898257462439,0.611664607942234,0.788758720393472,181
"167",2021-01-30,0.671710273971232,0.591056619152595,0.763375965221518,182
"168",2021-01-31,0.652640286550543,0.574198241684881,0.737147634996397,183
"169",2021-02-01,0.633075728261047,0.555392036388358,0.714468508870936,184
"170",2021-02-02,0.613227066379785,0.539491740243711,0.696087849678074,185
"171",2021-02-03,0.596879899767249,0.525143368605784,0.680473533821659,186
"172",2021-02-04,0.583992222116221,0.511435018181593,0.663641800744555,187
"173",2021-02-05,0.572203879497186,0.501939166764025,0.651333147062722,188
"174",2021-02-06,0.563690928759034,0.495060791256182,0.642505065019915,189
"175",2021-02-07,0.556795675236477,0.490866875249145,0.631967743032141,190
"176",2021-02-08,0.552366622334995,0.485375560633756,0.629836600494245,191
"177",2021-02-09,0.547978699712989,0.482164657871425,0.62517669866794,192
"178",2021-02-10,0.54519459606358,0.477743360770379,0.623588201432298,193
"179",2021-02-11,0.54306648066696,0.475634696579631,0.617593667709292,194
"180",2021-02-12,0.541937800885259,0.475572722642112,0.618805924622049,195
"181",2021-02-13,0.540104517972346,0.474284209891126,0.614192893895437,196
"182",2021-02-14,0.535569457717036,0.473587243191213,0.615335152894308,197
"183",2021-02-15,0.535184041205149,0.470775342124619,0.612574900656184,198
"184",2021-02-16,0.541348811051001,0.475336233908159,0.621232277943393,199
"185",2021-02-17,0.553064984768669,0.485217507100364,0.633552632866588,200
"186",2021-02-18,0.566457250302764,0.495608460023573,0.64880070844038,201
"187",2021-02-19,0.579452884179677,0.506924435085329,0.66417423925459,202
"188",2021-02-20,0.592966960143064,0.520603439450878,0.677043932294676,203
"189",2021-02-21,0.607226724105108,0.533264207905523,0.693351177342321,204
"190",2021-02-22,0.624256237072647,0.543777458052004,0.710279016683969,205
"191",2021-02-23,0.644774821195046,0.562013614838047,0.731004048032824,206
"192",2021-02-24,0.66941583422714,0.58272854125336,0.764481093547167,207
"193",2021-02-25,0.693938178461425,0.606300674973742,0.791762095688393,208
"194",2021-02-26,0.72235699564384,0.630974059424057,0.823669781250482,209
"195",2021-02-27,0.750287546945964,0.655178903674461,0.856456990674343,210
"196",2021-02-28,0.77966191108847,0.680306719468931,0.888307353762584,211
"197",2021-03-01,0.815659752181137,0.711553327509731,0.928747784939149,212
"198",2021-03-02,0.847420066565952,0.743648952047541,0.965081435697472,213
"199",2021-03-03,0.872676088748203,0.768088277680256,0.993717047411743,214
"200",2021-03-04,0.900897902719131,0.79357255915335,1.02282369509382,215
"201",2021-03-05,0.925389567477431,0.812925174316999,1.0526994046481,216
"202",2021-03-06,0.948976815359575,0.832563270197967,1.08651531475437,217
"203",2021-03-07,0.980000423098093,0.862348004825604,1.11525871729625,218
"204",2021-03-08,1.01117333399214,0.889733816404395,1.14439497579022,219
"205",2021-03-09,1.0390771910787,0.910513130506672,1.17757862796471,220
"206",2021-03-10,1.06210869417279,0.934532551464879,1.20486004890837,221
"207",2021-03-11,1.08135358402656,0.949598532484821,1.2292637019964,222
"208",2021-03-12,1.10414579568162,0.96727302097546,1.25180563732199,223
"209",2021-03-13,1.12517353276467,0.979322311191913,1.28310486160321,224
"210",2021-03-14,1.14827475768258,1.00443720894284,1.31036013895842,225
"211",2021-03-15,1.16723869357785,1.02286552778206,1.33347626044003,226
"212",2021-03-16,1.18839649315434,1.03810253489424,1.35133468304399,227
"213",2021-03-17,1.21385651249959,1.06649324083302,1.3860780172818,228
"214",2021-03-18,1.2433519901221,1.09337578914579,1.41180230734259,229
"215",2021-03-19,1.27338907417915,1.11661569836986,1.44306600510053,230
"216",2021-03-20,1.3022997343118,1.14405563387083,1.48402982843878,231
"217",2021-03-21,1.32815691639835,1.16783482326465,1.50880617723764,232
"218",2021-03-22,1.34680749159815,1.18722070328734,1.53241659842189,233
"219",2021-03-23,1.3619763865335,1.19638095848208,1.54920398796601,234
"220",2021-03-24,1.37740855546005,1.20605390486826,1.5721905591412,235
