"","date","R","lower","upper"
"1",2020-08-10,NA,NA,NA
"2",2020-08-11,NA,NA,NA
"3",2020-08-12,NA,NA,NA
"4",2020-08-13,NA,NA,NA
"5",2020-08-14,NA,NA,NA
"6",2020-08-15,3.81722556993567,3.02562127357639,4.79029113224186
"7",2020-08-16,2.99507644273045,2.40695937484662,3.75796471188488
"8",2020-08-17,2.46213809971748,1.99323443935633,3.05575834120936
"9",2020-08-18,2.09756408535513,1.70665828654429,2.58484551111698
"10",2020-08-19,1.84478954411007,1.4984245719867,2.26195856271962
"11",2020-08-20,1.68743359124903,1.3720618893159,2.03986720971808
"12",2020-08-21,1.57799007998879,1.27958347784445,1.91902727781456
"13",2020-08-22,1.49813046424191,1.22024933827439,1.80672367704506
"14",2020-08-23,1.43848847997708,1.18375438654044,1.7429638799422
"15",2020-08-24,1.40898437050381,1.16605552963924,1.71204630937432
"16",2020-08-25,1.37738284676619,1.14989893999302,1.67214868321855
"17",2020-08-26,1.35843114350571,1.13630232843052,1.64188367825568
"18",2020-08-27,1.35072700868185,1.12912677021241,1.62265725052431
"19",2020-08-28,1.34287337377139,1.1256183844468,1.6125357244952
"20",2020-08-29,1.33086872754241,1.11642212477506,1.58986668341966
"21",2020-08-30,1.32915136106388,1.11909385336862,1.58898916744297
"22",2020-08-31,1.32362477727229,1.10990686336069,1.57185020568448
"23",2020-09-01,1.32524644322078,1.11086297984957,1.56933721876014
"24",2020-09-02,1.33526247773154,1.12594941068814,1.59742340278225
"25",2020-09-03,1.33749259783637,1.12723299608371,1.60490296176663
"26",2020-09-04,1.33278598473413,1.12187435679557,1.59366071559455
"27",2020-09-05,1.34435984480484,1.13657029068359,1.61805886500627
"28",2020-09-06,1.36946779446177,1.15341093663018,1.64531746674501
"29",2020-09-07,1.40136902608562,1.17354966126729,1.67204222881428
"30",2020-09-08,1.44619350829388,1.2107100577692,1.72539179435301
"31",2020-09-09,1.48592632114366,1.234661711362,1.75947863368474
"32",2020-09-10,1.515478297977,1.25961835484983,1.81194217362282
"33",2020-09-11,1.55608643810816,1.29963720944134,1.84571609251328
"34",2020-09-12,1.60984978251322,1.33755004761311,1.90267776856519
"35",2020-09-13,1.67604438522691,1.40403874551961,1.97452950379588
"36",2020-09-14,1.75019936689413,1.46809824833417,2.07235099990504
"37",2020-09-15,1.81651244524424,1.52488289496185,2.15094442037367
"38",2020-09-16,1.88364650542817,1.6070834236825,2.22222263066174
"39",2020-09-17,1.94873516637949,1.65971374155596,2.32043425805918
"40",2020-09-18,2.03653008121489,1.73295564575109,2.41341518085262
"41",2020-09-19,2.10070450831344,1.78205659436681,2.4769855813611
"42",2020-09-20,2.15262649012422,1.82876266137293,2.54903491012913
"43",2020-09-21,2.18347845694411,1.8591951771225,2.58300226033922
"44",2020-09-22,2.20163604185208,1.86784640457687,2.58131899331223
"45",2020-09-23,2.18662975101552,1.85032923267729,2.55050546186117
"46",2020-09-24,2.14949644393899,1.8256136520192,2.49845206371086
"47",2020-09-25,2.10690674299013,1.79429137259002,2.46355073764571
"48",2020-09-26,2.0663656365846,1.75434584656148,2.41752125186006
"49",2020-09-27,2.0295082610605,1.72078695803847,2.38076618703211
"50",2020-09-28,2.00769894588339,1.70926558491333,2.35710544203935
"51",2020-09-29,1.97298336661617,1.66931175990119,2.30617415463309
"52",2020-09-30,1.93984719822267,1.65997657835932,2.28333090682398
"53",2020-10-01,1.91540239482768,1.63215101407413,2.24973001060105
"54",2020-10-02,1.89348831291864,1.59882482911837,2.23323681447804
"55",2020-10-03,1.85708401946037,1.56912013947136,2.1875856654071
"56",2020-10-04,1.80691988704366,1.53640948016296,2.13012757527114
"57",2020-10-05,1.74904075679501,1.49418365014903,2.04614984943123
"58",2020-10-06,1.68433252026619,1.43769316781584,1.98135381822089
"59",2020-10-07,1.63546842777867,1.39604650142516,1.9255362406924
"60",2020-10-08,1.60378722403118,1.36389045705064,1.88069158934845
"61",2020-10-09,1.58066291397465,1.33548906040459,1.85449435459353
"62",2020-10-10,1.55157573014787,1.32284420451567,1.82392093014946
"63",2020-10-11,1.51461186741297,1.29159063835814,1.77569668990925
"64",2020-10-12,1.48890764851778,1.26580641189516,1.73530255296775
"65",2020-10-13,1.46529651186794,1.25737102630939,1.72688581582313
"66",2020-10-14,1.44401531677601,1.24234655976404,1.69181207872033
"67",2020-10-15,1.41304080323412,1.21106722533502,1.65477564541959
"68",2020-10-16,1.36461579055176,1.16852198724541,1.5982054728601
"69",2020-10-17,1.31500071520532,1.1206882505268,1.52960055895381
"70",2020-10-18,1.26298196072121,1.07408958546648,1.48556874848564
"71",2020-10-19,1.22666999243974,1.05026471712344,1.43849579933619
"72",2020-10-20,1.20229937813708,1.02332037998408,1.40541179260606
"73",2020-10-21,1.1785840955505,0.997408703117973,1.37898442675639
"74",2020-10-22,1.16675237193001,0.98857802023046,1.36104182155624
"75",2020-10-23,1.1630279776117,0.98720431393957,1.36546256051397
"76",2020-10-24,1.16886246245953,0.992042476878369,1.37110583942419
"77",2020-10-25,1.18901029198232,1.00704434920533,1.3962160244664
"78",2020-10-26,1.20126916086393,1.01789935799441,1.41266403313944
"79",2020-10-27,1.20839532578501,1.02630300491222,1.41338253451869
"80",2020-10-28,1.21362637705578,1.03517550406529,1.41868549102849
"81",2020-10-29,1.21620459288582,1.04597555368561,1.42652883132054
"82",2020-10-30,1.21879220221145,1.04150972822219,1.42536906942447
"83",2020-10-31,1.22127874426351,1.03659192462128,1.4257083608183
"84",2020-11-01,1.21981612446059,1.03774326211736,1.4313283306538
"85",2020-11-02,1.22091108835061,1.03510582863219,1.43014764722224
"86",2020-11-03,1.22863919388674,1.0329422316173,1.43669010802008
"87",2020-11-04,1.23518723255158,1.05038556528676,1.44882191945665
"88",2020-11-05,1.24613836644836,1.05491450738528,1.44989087850388
"89",2020-11-06,1.2529460778812,1.05976640766893,1.45706576807505
"90",2020-11-07,1.2758399440815,1.08799446102083,1.48074940188735
"91",2020-11-08,1.30001130695158,1.11211239743488,1.51079426997286
"92",2020-11-09,1.32639693620744,1.13163230715396,1.54352293566675
"93",2020-11-10,1.36285472167698,1.16567434208462,1.59080086997296
"94",2020-11-11,1.39362211226034,1.18946947593549,1.62664929136382
"95",2020-11-12,1.41801185309676,1.21223795312571,1.66199937663774
"96",2020-11-13,1.44113852642661,1.23266641994114,1.68975968036073
"97",2020-11-14,1.45741935162683,1.24204857776783,1.69665052610361
"98",2020-11-15,1.454787031589,1.25214593825976,1.70491417162313
"99",2020-11-16,1.44079209750054,1.23330278932174,1.68560028709534
"100",2020-11-17,1.41544989802046,1.21989314825508,1.64574135783457
"101",2020-11-18,1.37761475063671,1.1800115022618,1.60134416891333
"102",2020-11-19,1.33750488351318,1.1424956174339,1.56226956966336
"103",2020-11-20,1.30262978885945,1.11387918842442,1.51861270523837
"104",2020-11-21,1.26816150810775,1.08959593320677,1.48723865945974
"105",2020-11-22,1.23797572875494,1.0672268006823,1.44708214374822
"106",2020-11-23,1.20688574663843,1.03581305046611,1.40944147219136
"107",2020-11-24,1.18267812308952,1.01025927558953,1.38187960456735
