"","date","R","lower","upper","t_end"
"1",2020-08-10,NA,NA,NA,9
"2",2020-08-11,NA,NA,NA,10
"3",2020-08-12,5.16177409619391,4.25203570787661,6.1857331113379,11
"4",2020-08-13,3.38752929635143,2.7982405360236,4.10342311984618,12
"5",2020-08-14,2.39384316823956,1.98604284736597,2.88557965232127,13
"6",2020-08-15,1.77976227979607,1.47615482282754,2.13759553256895,14
"7",2020-08-16,1.37421152624671,1.15004184125702,1.63531331701628,15
"8",2020-08-17,1.09456391088958,0.922917073631982,1.29799205677244,16
"9",2020-08-18,0.889436156016377,0.753936234072061,1.04513731932275,17
"10",2020-08-19,0.766409095300551,0.650289435322109,0.89481964626658,18
"11",2020-08-20,0.699704901528364,0.594047675139468,0.813722595899887,19
"12",2020-08-21,0.669257051220099,0.567711112189784,0.776903586113552,20
"13",2020-08-22,0.662189662861985,0.56503309638977,0.772959275749724,21
"14",2020-08-23,0.673242439979049,0.573099562813807,0.787246115959717,22
"15",2020-08-24,0.701677964922523,0.597242191335737,0.817479584674565,23
"16",2020-08-25,0.753554234489204,0.642244121219355,0.875440580386788,24
"17",2020-08-26,0.837978356537935,0.722632359820362,0.971137455822594,25
"18",2020-08-27,0.918670496299992,0.788281301672768,1.06877242923219,26
"19",2020-08-28,0.984195630715005,0.847847475593912,1.14487533110522,27
"20",2020-08-29,1.05589701068465,0.906808380250512,1.22499381171129,28
"21",2020-08-30,1.144698846665,0.980774623549523,1.33149371675939,29
"22",2020-08-31,1.25873614152206,1.0874888405644,1.46716298980924,30
"23",2020-09-01,1.3776257860932,1.18869975702958,1.60076111520507,31
"24",2020-09-02,1.48449939917759,1.26948262631337,1.71712541938831,32
"25",2020-09-03,1.57244564760487,1.35038401469342,1.82070355906588,33
"26",2020-09-04,1.66730792349248,1.43354092709349,1.93397253731655,34
"27",2020-09-05,1.75918764319173,1.51903163372983,2.04716568324098,35
"28",2020-09-06,1.84348252719159,1.59238074703125,2.14760729654161,36
"29",2020-09-07,1.89827406851337,1.64439506212237,2.21387938494629,37
"30",2020-09-08,1.90229891349862,1.6656378708168,2.21237341733577,38
"31",2020-09-09,1.87807261374589,1.64130068046286,2.17915081157906,39
"32",2020-09-10,1.84736920238928,1.60315813906175,2.14272950622221,40
"33",2020-09-11,1.80643509070404,1.57562111987044,2.08265603444365,41
"34",2020-09-12,1.76434756264804,1.54511999629121,2.0447706046545,42
"35",2020-09-13,1.74696808824233,1.52251136168691,2.02562507464555,43
"36",2020-09-14,1.72752773743107,1.50620511918878,2.00543410005647,44
"37",2020-09-15,1.73080082240042,1.49846542138935,1.98221347522777,45
"38",2020-09-16,1.74744265755821,1.52282894970957,2.00279429728382,46
"39",2020-09-17,1.80260332841812,1.55935617777825,2.07005598620774,47
"40",2020-09-18,1.84004328658465,1.60090539252167,2.12200433391442,48
"41",2020-09-19,1.8886492276682,1.64923738915115,2.17060338907805,49
"42",2020-09-20,1.95820973708678,1.71478376836568,2.24645793716935,50
"43",2020-09-21,2.03562251647067,1.76392077819757,2.3261440650564,51
"44",2020-09-22,2.08853162022818,1.81576240397595,2.38409671758525,52
"45",2020-09-23,2.1064929348312,1.83954096698079,2.40657707030853,53
"46",2020-09-24,2.11841297053002,1.84944050467591,2.41490522602379,54
"47",2020-09-25,2.12031497575657,1.85163290497502,2.4192714014944,55
"48",2020-09-26,2.1434639194739,1.88000107686328,2.44978152598587,56
"49",2020-09-27,2.16453572714515,1.90288556874781,2.47189842049009,57
"50",2020-09-28,2.16009570810164,1.90420285687523,2.45599588596073,58
"51",2020-09-29,2.13831302431571,1.88820503087369,2.43540063405632,59
"52",2020-09-30,2.11672446942253,1.86060787429888,2.40159338120794,60
"53",2020-10-01,2.09582364269304,1.8441894813528,2.37893984768393,61
"54",2020-10-02,2.08221700594313,1.83790149115314,2.36267592873335,62
"55",2020-10-03,2.05708334859572,1.81514092433259,2.33615072078779,63
"56",2020-10-04,2.02685506026083,1.79049117167612,2.31706901711798,64
"57",2020-10-05,1.99091870166184,1.75549689754744,2.26749258524379,65
"58",2020-10-06,1.95300808283621,1.71278027590599,2.22327674411257,66
"59",2020-10-07,1.86211087896738,1.6372669367634,2.120656207521,67
"60",2020-10-08,1.77518358273753,1.55261407289089,2.01459563622823,68
"61",2020-10-09,1.68555854534002,1.4715976129965,1.91749087177071,69
"62",2020-10-10,1.57807605084988,1.37640107687599,1.7959161029228,70
"63",2020-10-11,1.46769927961722,1.2824487164984,1.67015423128448,71
"64",2020-10-12,1.35526597551037,1.18583849535168,1.54207036809146,72
"65",2020-10-13,1.24813370940397,1.09409517136544,1.41543085371766,73
