"","y","date","lower","upper"
"1",11,2020-03-16,6,22.0249999999999
"2",24,2020-03-17,10,32
"3",20,2020-03-18,12,35.0249999999999
"4",27,2020-03-19,13,37.0249999999999
"5",18,2020-03-20,14,37
"6",42,2020-03-21,23,58
"7",38,2020-03-22,43,94
"8",409,2020-03-23,165,322.05
"9",412,2020-03-24,235,446.05
"10",299,2020-03-25,236,445.05
"11",290,2020-03-26,215,422.025
"12",392,2020-03-27,269,507
"13",477,2020-03-28,300,578.05
"14",342,2020-03-29,311,591
"15",590,2020-03-30,393.975,736.025
"16",732,2020-03-31,467.925,875.05
"17",449,2020-04-01,435.975,810
"18",907,2020-04-02,515.95,968
"19",583,2020-04-03,486,908
"20",896,2020-04-04,578.975,1068
"21",947,2020-04-05,643,1174
"22",636,2020-04-06,518.925,975.025
"23",760,2020-04-07,556.95,1035
"24",691,2020-04-08,546,1045
"25",881,2020-04-09,561.975,1050.075
"26",765,2020-04-10,514.975,967
"27",615,2020-04-11,451,858.05
"28",554,2020-04-12,448,835.025
"29",711,2020-04-13,496.975,930.099999999999
"30",691,2020-04-14,511,955.025
"31",612,2020-04-15,542.975,1005.025
"32",997,2020-04-16,614.975,1155.025
"33",941,2020-04-17,613,1162.025
"34",722,2020-04-18,564,1047
"35",834,2020-04-19,625,1137.075
"36",961,2020-04-20,652,1214.025
"37",806,2020-04-21,624,1181.075
"38",838,2020-04-22,635.975,1195
"39",873,2020-04-23,593,1094.025
"40",774,2020-04-24,542.975,1025.025
"41",653,2020-04-25,520,958
"42",840,2020-04-26,590.95,1103.025
"43",870,2020-04-27,601,1145
"44",777,2020-04-28,626.975,1149.025
"45",843,2020-04-29,663.95,1221.15
"46",948,2020-04-30,666,1253.025
"47",1110,2020-05-01,720.9,1360.025
"48",1008,2020-05-02,720.975,1351.075
"49",1102,2020-05-03,740.975,1375.125
"50",759,2020-05-04,601,1138.05
"51",795,2020-05-05,623.975,1181.025
"52",910,2020-05-06,669.975,1262.025
"53",915,2020-05-07,632.95,1188.075
"54",913,2020-05-08,625,1150.05
"55",836,2020-05-09,580,1127
"56",735,2020-05-10,547.975,1039.05
"57",748,2020-05-11,551,1046.05
"58",756,2020-05-12,566,1063.025
"59",705,2020-05-13,551.95,1046.1
"60",793,2020-05-14,530.975,1017.025
"61",697,2020-05-15,512,963.174999999999
"62",763,2020-05-16,524.975,976
"63",735,2020-05-17,524.975,997.025
"64",709,2020-05-18,497,953.075
"65",570,2020-05-19,463.975,879.05
"66",578,2020-05-20,467,850.025
"67",720,2020-05-21,470.95,885.025
"68",645,2020-05-22,457.975,875
"69",698,2020-05-23,468.975,877.149999999999
"70",573,2020-05-24,424.975,815.05
"71",573,2020-05-25,432.975,811
"72",614,2020-05-26,451,849.025
"73",539,2020-05-27,418.975,783
"74",564,2020-05-28,387,712
"75",529,2020-05-29,348.975,669.05
"76",419,2020-05-30,304.975,568.025
"77",410,2020-05-31,272.975,527.025
"78",294,2020-06-01,222,425.025
"79",237,2020-06-02,198,383.025
"80",292,2020-06-03,205,390
"81",259,2020-06-04,180,356
"82",255,2020-06-05,168,338
"83",227,2020-06-06,159,305.025
"84",225,2020-06-07,150,296
"85",198,2020-06-08,135.975,269
"86",139,2020-06-09,115,229
"87",156,2020-06-10,111,225.025
"88",144,2020-06-11,105,202
"89",181,2020-06-12,110,220.025
"90",158,2020-06-13,103,204
"91",128,2020-06-14,87,178.025
"92",101,2020-06-15,77,153
"93",93,2020-06-16,75,152
"94",117,2020-06-17,81,165
"95",120,2020-06-18,84,169
"96",167,2020-06-19,93,191.025
"97",124,2020-06-20,78.975,161
"98",91,2020-06-21,61,130
"99",69,2020-06-22,47,103
"100",49,2020-06-23,42,91.0249999999999
"101",54,2020-06-24,46,100.025
"102",142,2020-06-25,77,160
"103",143,2020-06-26,89,185
"104",144,2020-06-27,95.975,195
"105",145,2020-06-28,109,216.025
"106",311,2020-06-29,132,254.025
"107",68,2020-06-30,67,139
"108",66,2020-07-01,52,110
"109",69,2020-07-02,48,104.025
"110",89,2020-07-03,55,120
"111",102,2020-07-04,60,123.025
"112",79,2020-07-05,55,116
"113",74,2020-07-06,49,108
"114",60,2020-07-07,49,107
"115",82,2020-07-08,59.975,125
"116",137,2020-07-09,74,154
"117",100,2020-07-10,67,139
"118",91,2020-07-11,65,134
"119",114,2020-07-12,71,153
"120",100,2020-07-13,74,149
"121",109,2020-07-14,84,170
"122",129,2020-07-15,90,183
"123",142,2020-07-16,93,189
"124",141,2020-07-17,98,191
"125",158,2020-07-18,103,209.025
"126",166,2020-07-19,113,218
"127",150,2020-07-20,112,221
"128",180,2020-07-21,124,246
"129",142,2020-07-22,106.975,213
"130",142,2020-07-23,102,204
"131",163,2020-07-24,109,216
"132",171,2020-07-25,110,223
"133",169,2020-07-26,114,229
"134",145,2020-07-27,111,220
"135",169,2020-07-28,121,231
"136",176,2020-07-29,103,207
"137",58,2020-07-30,62,135
"138",181,2020-07-31,94,190.025
"139",146,2020-08-01,97,192
"140",141,2020-08-02,95,194
"141",123,2020-08-03,91,182.025
"142",123,2020-08-04,97,194
"143",155,2020-08-05,102.975,202
"144",133,2020-08-06,87,179.025
"145",108,2020-08-07,77,156.025
"146",126,2020-08-08,80,164
"147",104,2020-08-09,79,157
"148",156,2020-08-10,90,182
"149",91,2020-08-11,75,153
"150",95,2020-08-12,67,141.025
"151",104,2020-08-13,65,136
"152",87,2020-08-14,57,120
"153",80,2020-08-15,48,107
"154",67,2020-08-16,45,96
"155",55,2020-08-17,38,86
"156",46,2020-08-18,37,83
"157",64,2020-08-19,43,95.0249999999999
"158",86,2020-08-20,53,112
"159",93,2020-08-21,58,123
"160",104,2020-08-22,58,125.025
"161",74,2020-08-23,52,108.025
"162",68,2020-08-24,50,108
"163",62,2020-08-25,54,115
"164",142,2020-08-26,77,154.025
"165",111,2020-08-27,69,142
"166",68,2020-08-28,54,118
"167",108,2020-08-29,66,142
"168",120,2020-08-30,81,163.025
"169",140,2020-08-31,92.975,181
"170",122,2020-09-01,95,195
"171",132,2020-09-02,100,198.025
"172",187,2020-09-03,119,232
"173",184,2020-09-04,123,240
"174",175,2020-09-05,121.975,240
"175",205,2020-09-06,138,266
"176",216,2020-09-07,143,283
"177",163,2020-09-08,134,259.025
"178",180,2020-09-09,131,260.025
"179",188,2020-09-10,135,265
"180",219,2020-09-11,147.975,293
"181",244,2020-09-12,163.975,325
"182",279,2020-09-13,188,370.025
"183",276,2020-09-14,204.975,399
"184",292,2020-09-15,229,441
"185",303,2020-09-16,236,458.025
"186",499,2020-09-17,283,539
"187",297,2020-09-18,248.975,470.025
"188",427,2020-09-19,290,536
"189",462,2020-09-20,333,636.025
"190",586,2020-09-21,390,739
"191",489,2020-09-22,392,735
"192",471,2020-09-23,375.975,720.099999999999
"193",582,2020-09-24,407.975,765.025
"194",637,2020-09-25,441,847.025
"195",698,2020-09-26,497.975,928
"196",896,2020-09-27,588,1110.025
"197",750,2020-09-28,572.975,1099.05
"198",799,2020-09-29,629,1164.025
"199",838,2020-09-30,643.975,1182
"200",933,2020-10-01,665.975,1237.075
"201",1052,2020-10-02,728.95,1347
"202",1107,2020-10-03,751,1394.05
"203",1079,2020-10-04,796,1492.025
"204",1191,2020-10-05,883.95,1629.075
"205",1364,2020-10-06,963,1764.125
"206",900,2020-10-07,763.95,1391.125
"207",1078,2020-10-08,758.95,1422.075
"208",1102,2020-10-09,780.975,1429.025
"209",1097,2020-10-10,721.975,1364.05
"210",942,2020-10-11,688.95,1282
"211",843,2020-10-12,670.975,1223
"212",815,2020-10-13,699.925,1308.125
"213",1203,2020-10-14,792.95,1464.275
"214",969,2020-10-15,728.95,1339.025
"215",1055,2020-10-16,764,1397.025
"216",1278,2020-10-17,816.95,1512.1
"217",1093,2020-10-18,783.9,1460.025
"218",950,2020-10-19,750,1377
"219",877,2020-10-20,733,1396
"220",1072,2020-10-21,769,1409.075
"221",1033,2020-10-22,717.975,1342.025
"222",905,2020-10-23,673,1258.025
"223",1009,2020-10-24,661.975,1229.075
"224",879,2020-10-25,641,1212.025
"225",808,2020-10-26,661,1222.075
"226",963,2020-10-27,734,1385.05
"227",929,2020-10-28,705.975,1309.025
"228",1029,2020-10-29,716.975,1352.05
